category,n_customers,n_repurchase_customers,repurchase_rate,repurchase_rate_pct
3407,2832,238.0,0.08403954802259887,8.4
3863,2818,250.0,0.0887154009936125,8.87
1665,2771,355.0,0.128112594731144,12.81
3266,2752,356.0,0.12936046511627908,12.94
4144,2727,273.0,0.1001100110011001,10.01
112,2714,135.0,0.04974207811348563,4.97
1082,2707,309.0,0.11414850387883266,11.41
1582,2691,252.0,0.09364548494983277,9.36
6853,2629,366.0,0.13921643210346138,13.92
835,2611,134.0,0.05132133282267331,5.13
955,2604,190.0,0.07296466973886329,7.3
4683,2602,272.0,0.10453497309761722,10.45
4242,2602,163.0,0.06264411990776327,6.26
5925,2588,282.0,0.10896445131375579,10.9
2506,2587,208.0,0.08040201005025126,8.04
5865,2570,170.0,0.06614785992217899,6.61
4220,2534,189.0,0.07458563535911603,7.46
4671,2532,253.0,0.09992101105845182,9.99
4143,2526,175.0,0.06927949326999208,6.93
441,2482,111.0,0.04472199838839645,4.47
735,2478,180.0,0.07263922518159806,7.26
1480,2460,172.0,0.06991869918699187,6.99
6902,2446,183.0,0.07481602616516762,7.48
2044,2432,147.0,0.06044407894736842,6.04
1652,2430,255.0,0.10493827160493827,10.49
2914,2416,457.0,0.18915562913907286,18.92
4136,2412,175.0,0.07255389718076286,7.26
1014,2412,215.0,0.08913764510779436,8.91
3860,2404,115.0,0.0478369384359401,4.78
4987,2394,265.0,0.11069340016708437,11.07
1660,2394,195.0,0.08145363408521303,8.15
3632,2385,338.0,0.14171907756813418,14.17
416,2378,214.0,0.08999158957106812,9.0
3623,2372,111.0,0.046795952782462055,4.68
4098,2342,196.0,0.08368915456874466,8.37
4753,2328,356.0,0.15292096219931273,15.29
363,2326,118.0,0.05073086844368014,5.07
4435,2325,182.0,0.07827956989247312,7.83
3825,2316,144.0,0.06217616580310881,6.22
3006,2294,157.0,0.06843940714908457,6.84
3792,2293,225.0,0.09812472743131269,9.81
5151,2277,141.0,0.061923583662714096,6.19
4588,2246,152.0,0.06767586821015138,6.77
3549,2235,352.0,0.1574944071588367,15.75
5677,2228,175.0,0.07854578096947935,7.85
3554,2219,150.0,0.067598017124831,6.76
3979,2201,234.0,0.10631531122217174,10.63
875,2193,179.0,0.0816233470132239,8.16
46,2188,133.0,0.06078610603290677,6.08
793,2164,137.0,0.0633086876155268,6.33
1594,2156,271.0,0.12569573283858998,12.57
3001,2154,181.0,0.0840297121634169,8.4
6272,2152,297.0,0.13801115241635686,13.8
3357,2150,117.0,0.05441860465116279,5.44
3443,2146,292.0,0.13606710158434296,13.61
2096,2136,550.0,0.25749063670411987,25.75
1732,2097,308.0,0.1468764902241297,14.69
3292,2097,153.0,0.07296137339055794,7.3
2589,2092,204.0,0.09751434034416825,9.75
5092,2069,182.0,0.08796520057999033,8.8
1047,2060,114.0,0.05533980582524272,5.53
1656,2050,159.0,0.0775609756097561,7.76
164,2033,125.0,0.06148548942449582,6.15
6586,2026,159.0,0.07847976307996052,7.85
869,2022,118.0,0.058358061325420374,5.84
5920,2013,148.0,0.07352210630899156,7.35
298,2009,172.0,0.0856147336983574,8.56
3048,1994,196.0,0.09829488465396188,9.83
5770,1979,151.0,0.07630116220313289,7.63
1187,1969,167.0,0.08481462671406806,8.48
1560,1963,119.0,0.06062149770759042,6.06
3704,1961,121.0,0.06170321264660887,6.17
2180,1951,239.0,0.12250128139415685,12.25
303,1948,161.0,0.08264887063655031,8.26
3638,1932,144.0,0.07453416149068323,7.45
2394,1930,157.0,0.08134715025906736,8.13
3144,1930,259.0,0.13419689119170986,13.42
1847,1930,183.0,0.09481865284974093,9.48
2836,1929,152.0,0.07879730430274753,7.88
4226,1905,84.0,0.04409448818897638,4.41
2936,1890,80.0,0.042328042328042326,4.23
1876,1874,150.0,0.08004268943436499,8.0
6196,1860,273.0,0.14677419354838708,14.68
3035,1854,232.0,0.12513484358144553,12.51
27,1845,128.0,0.06937669376693767,6.94
5402,1838,163.0,0.08868335146898804,8.87
5510,1828,164.0,0.08971553610503283,8.97
1581,1826,138.0,0.0755750273822563,7.56
1923,1824,173.0,0.09484649122807018,9.48
1199,1819,147.0,0.08081363386476086,8.08
2479,1813,227.0,0.1252068394925538,12.52
604,1812,115.0,0.06346578366445917,6.35
5298,1798,156.0,0.0867630700778643,8.68
3262,1776,150.0,0.08445945945945946,8.45
780,1775,161.0,0.09070422535211267,9.07
3517,1768,193.0,0.10916289592760181,10.92
2818,1766,165.0,0.09343148357870895,9.34
4247,1764,125.0,0.07086167800453515,7.09
5362,1753,136.0,0.0775812892184826,7.76
4068,1749,134.0,0.07661520869068039,7.66
6634,1740,276.0,0.15862068965517243,15.86
1598,1727,101.0,0.05848291835552982,5.85
4870,1712,137.0,0.08002336448598131,8.0
2931,1693,110.0,0.06497341996455995,6.5
6192,1692,131.0,0.07742316784869976,7.74
1667,1684,143.0,0.08491686460807601,8.49
3107,1673,100.0,0.05977286312014345,5.98
5491,1668,176.0,0.10551558752997602,10.55
1606,1665,125.0,0.07507507507507508,7.51
2793,1645,139.0,0.08449848024316109,8.45
1413,1635,65.0,0.039755351681957186,3.98
1265,1633,106.0,0.06491120636864667,6.49
807,1631,176.0,0.1079092581238504,10.79
6714,1624,121.0,0.07450738916256158,7.45
6234,1608,127.0,0.07898009950248756,7.9
1107,1601,109.0,0.06808244846970643,6.81
4356,1601,94.0,0.05871330418488445,5.87
3010,1598,126.0,0.07884856070087609,7.88
118,1595,108.0,0.0677115987460815,6.77
2411,1592,198.0,0.12437185929648241,12.44
6315,1577,157.0,0.09955611921369689,9.96
57,1573,231.0,0.14685314685314685,14.69
3181,1572,135.0,0.08587786259541985,8.59
124,1568,126.0,0.08035714285714286,8.04
902,1560,93.0,0.05961538461538462,5.96
4627,1559,100.0,0.06414368184733804,6.41
5604,1551,104.0,0.0670535138620245,6.71
2738,1540,89.0,0.05779220779220779,5.78
1711,1536,84.0,0.0546875,5.47
2325,1524,179.0,0.11745406824146981,11.75
1854,1521,144.0,0.09467455621301775,9.47
1094,1519,93.0,0.061224489795918366,6.12
1183,1513,88.0,0.05816259087904825,5.82
5050,1507,137.0,0.09090909090909091,9.09
3073,1497,118.0,0.0788243152972612,7.88
262,1493,141.0,0.09444072337575352,9.44
277,1491,61.0,0.0409121395036888,4.09
64,1488,70.0,0.04704301075268817,4.7
5797,1486,88.0,0.059219380888290714,5.92
1339,1476,95.0,0.06436314363143632,6.44
408,1473,84.0,0.05702647657841141,5.7
4626,1472,70.0,0.04755434782608696,4.76
301,1468,77.0,0.052452316076294275,5.25
1330,1443,96.0,0.06652806652806653,6.65
962,1440,112.0,0.07777777777777778,7.78
6257,1421,221.0,0.15552427867698804,15.55
6974,1412,43.0,0.030453257790368272,3.05
4670,1401,107.0,0.07637401855817273,7.64
496,1394,83.0,0.05954088952654232,5.95
6466,1390,102.0,0.07338129496402877,7.34
1155,1381,98.0,0.07096307023895727,7.1
3550,1376,76.0,0.055232558139534885,5.52
2419,1371,96.0,0.0700218818380744,7.0
6567,1370,98.0,0.07153284671532846,7.15
1587,1368,73.0,0.0533625730994152,5.34
2297,1362,103.0,0.07562408223201175,7.56
2832,1358,93.0,0.06848306332842416,6.85
2274,1355,81.0,0.05977859778597786,5.98
5418,1344,103.0,0.07663690476190477,7.66
6910,1341,123.0,0.09172259507829977,9.17
3593,1337,118.0,0.08825729244577413,8.83
382,1327,99.0,0.0746043707611153,7.46
4731,1324,81.0,0.06117824773413897,6.12
6448,1318,116.0,0.08801213960546282,8.8
1277,1311,140.0,0.10678871090770405,10.68
683,1305,99.0,0.07586206896551724,7.59
6876,1304,170.0,0.1303680981595092,13.04
995,1300,116.0,0.08923076923076922,8.92
2888,1292,93.0,0.07198142414860681,7.2
5095,1289,82.0,0.06361520558572537,6.36
1727,1287,63.0,0.04895104895104895,4.9
1325,1285,80.0,0.0622568093385214,6.23
1822,1279,87.0,0.06802189210320563,6.8
2935,1276,72.0,0.05642633228840126,5.64
4624,1266,99.0,0.07819905213270142,7.82
2313,1266,101.0,0.07977883096366509,7.98
882,1257,120.0,0.0954653937947494,9.55
1397,1253,77.0,0.061452513966480445,6.15
1090,1244,129.0,0.10369774919614148,10.37
5409,1238,88.0,0.07108239095315025,7.11
3727,1229,73.0,0.059397884458909686,5.94
4212,1226,116.0,0.09461663947797716,9.46
6892,1224,92.0,0.07516339869281045,7.52
6167,1213,214.0,0.17642209398186315,17.64
665,1212,158.0,0.13036303630363036,13.04
4029,1207,109.0,0.09030654515327258,9.03
6883,1206,93.0,0.07711442786069651,7.71
4935,1205,86.0,0.07136929460580912,7.14
4215,1202,75.0,0.06239600665557404,6.24
3173,1200,58.0,0.04833333333333333,4.83
4679,1198,83.0,0.06928213689482471,6.93
4209,1195,45.0,0.03765690376569038,3.77
5152,1193,82.0,0.06873428331936295,6.87
5537,1191,118.0,0.09907640638119228,9.91
632,1191,135.0,0.11335012594458438,11.34
580,1178,104.0,0.08828522920203735,8.83
5959,1177,125.0,0.10620220900594732,10.62
5058,1175,64.0,0.05446808510638298,5.45
4245,1175,95.0,0.08085106382978724,8.09
3760,1172,92.0,0.07849829351535836,7.85
1821,1172,78.0,0.06655290102389079,6.66
652,1170,71.0,0.06068376068376068,6.07
52,1169,164.0,0.14029084687767324,14.03
2881,1167,93.0,0.07969151670951156,7.97
635,1165,57.0,0.048927038626609444,4.89
2138,1164,56.0,0.048109965635738834,4.81
2430,1163,92.0,0.07910576096302666,7.91
3016,1162,119.0,0.10240963855421686,10.24
2584,1161,94.0,0.08096468561584841,8.1
1461,1159,53.0,0.0457290767903365,4.57
4044,1158,100.0,0.08635578583765112,8.64
2492,1157,70.0,0.06050129645635264,6.05
494,1150,69.0,0.06,6.0
985,1149,135.0,0.1174934725848564,11.75
1263,1147,112.0,0.0976460331299041,9.76
4282,1146,74.0,0.06457242582897033,6.46
1568,1146,94.0,0.08202443280977312,8.2
5549,1141,116.0,0.1016652059596845,10.17
4530,1140,75.0,0.06578947368421052,6.58
2142,1138,55.0,0.048330404217926184,4.83
5501,1134,97.0,0.0855379188712522,8.55
304,1127,116.0,0.10292812777284827,10.29
822,1125,83.0,0.07377777777777778,7.38
1106,1122,67.0,0.059714795008912656,5.97
2537,1117,84.0,0.07520143240823635,7.52
4619,1117,77.0,0.06893464637421665,6.89
1995,1117,87.0,0.07788719785138765,7.79
2213,1117,157.0,0.1405550581915846,14.06
2762,1116,99.0,0.08870967741935484,8.87
6001,1114,86.0,0.07719928186714542,7.72
6460,1109,83.0,0.07484220018034266,7.48
4647,1108,68.0,0.061371841155234655,6.14
3759,1106,184.0,0.16636528028933092,16.64
1058,1105,59.0,0.05339366515837104,5.34
4595,1099,81.0,0.07370336669699727,7.37
333,1084,71.0,0.06549815498154982,6.55
3998,1082,74.0,0.06839186691312385,6.84
4656,1079,56.0,0.051899907321594066,5.19
4388,1077,78.0,0.07242339832869081,7.24
1510,1066,69.0,0.0647279549718574,6.47
1895,1062,50.0,0.047080979284369114,4.71
1252,1060,66.0,0.062264150943396226,6.23
6794,1059,151.0,0.14258734655335223,14.26
1786,1058,83.0,0.07844990548204159,7.84
1611,1056,77.0,0.07291666666666667,7.29
2174,1055,63.0,0.05971563981042654,5.97
5969,1053,143.0,0.13580246913580246,13.58
6198,1052,51.0,0.04847908745247148,4.85
3672,1048,95.0,0.09064885496183206,9.06
6125,1046,52.0,0.0497131931166348,4.97
6734,1041,46.0,0.04418828049951969,4.42
1162,1039,55.0,0.05293551491819057,5.29
6164,1032,65.0,0.06298449612403101,6.3
5358,1027,65.0,0.06329113924050633,6.33
1138,1026,189.0,0.18421052631578946,18.42
5572,1023,108.0,0.10557184750733138,10.56
2475,1020,60.0,0.058823529411764705,5.88
6381,1017,68.0,0.06686332350049164,6.69
3950,1016,74.0,0.07283464566929133,7.28
3467,1013,59.0,0.05824284304047384,5.82
2683,1008,79.0,0.07837301587301587,7.84
3576,1006,68.0,0.06759443339960239,6.76
4877,1006,44.0,0.0437375745526839,4.37
1449,998,92.0,0.09218436873747494,9.22
58,996,123.0,0.12349397590361445,12.35
5062,995,61.0,0.061306532663316586,6.13
5764,993,64.0,0.06445115810674723,6.45
241,990,83.0,0.08383838383838384,8.38
6059,988,62.0,0.06275303643724696,6.28
6012,982,73.0,0.07433808553971487,7.43
2203,982,61.0,0.062118126272912425,6.21
6679,981,63.0,0.06422018348623854,6.42
559,981,179.0,0.18246687054026503,18.25
4827,977,93.0,0.09518935516888434,9.52
642,974,72.0,0.07392197125256673,7.39
2386,965,78.0,0.08082901554404145,8.08
1357,965,62.0,0.06424870466321243,6.42
4712,957,39.0,0.04075235109717868,4.08
989,957,82.0,0.08568443051201671,8.57
5999,956,67.0,0.0700836820083682,7.01
49,953,116.0,0.12172088142707241,12.17
5620,952,73.0,0.07668067226890757,7.67
2598,948,77.0,0.08122362869198312,8.12
1392,942,104.0,0.11040339702760085,11.04
529,940,76.0,0.08085106382978724,8.09
4146,937,72.0,0.0768409818569904,7.68
899,931,65.0,0.06981740064446831,6.98
4611,929,56.0,0.060279870828848225,6.03
4514,929,36.0,0.038751345532831,3.88
341,922,86.0,0.09327548806941431,9.33
1729,921,61.0,0.06623235613463627,6.62
6332,917,100.0,0.10905125408942203,10.91
4430,912,84.0,0.09210526315789473,9.21
6228,905,29.0,0.032044198895027624,3.2
3738,903,61.0,0.06755260243632337,6.76
6207,901,123.0,0.1365149833518313,13.65
1073,900,56.0,0.06222222222222222,6.22
5074,900,136.0,0.1511111111111111,15.11
5655,898,63.0,0.07015590200445435,7.02
6641,893,41.0,0.04591265397536394,4.59
4898,890,118.0,0.13258426966292136,13.26
4793,889,62.0,0.06974128233970754,6.97
738,883,55.0,0.0622876557191393,6.23
5751,882,73.0,0.08276643990929705,8.28
6950,875,46.0,0.052571428571428575,5.26
3732,872,51.0,0.058486238532110095,5.85
1257,872,68.0,0.0779816513761468,7.8
1936,872,73.0,0.08371559633027523,8.37
667,871,52.0,0.05970149253731343,5.97
1919,869,44.0,0.05063291139240506,5.06
2434,864,47.0,0.05439814814814815,5.44
4573,862,91.0,0.10556844547563805,10.56
3715,860,49.0,0.056976744186046514,5.7
2355,859,67.0,0.0779976717112922,7.8
5123,855,80.0,0.0935672514619883,9.36
6707,854,54.0,0.06323185011709602,6.32
4340,852,63.0,0.07394366197183098,7.39
4077,852,45.0,0.0528169014084507,5.28
2455,850,63.0,0.07411764705882352,7.41
4122,849,99.0,0.1166077738515901,11.66
1193,846,48.0,0.05673758865248227,5.67
2381,842,59.0,0.07007125890736342,7.01
3534,842,27.0,0.032066508313539195,3.21
3680,841,69.0,0.08204518430439953,8.2
3963,838,56.0,0.06682577565632458,6.68
4887,838,44.0,0.05250596658711217,5.25
4355,838,106.0,0.12649164677804295,12.65
1453,838,59.0,0.07040572792362769,7.04
4454,832,80.0,0.09615384615384616,9.62
5259,829,54.0,0.06513872135102533,6.51
1790,826,45.0,0.05447941888619855,5.45
1111,823,72.0,0.08748481166464156,8.75
1004,823,60.0,0.07290400972053462,7.29
2915,822,69.0,0.08394160583941605,8.39
6765,820,56.0,0.06829268292682927,6.83
6605,820,98.0,0.11951219512195121,11.95
5790,820,65.0,0.07926829268292683,7.93
5946,817,53.0,0.06487148102815178,6.49
1890,817,51.0,0.06242350061199511,6.24
1742,816,66.0,0.08088235294117647,8.09
6900,814,58.0,0.07125307125307126,7.13
618,813,130.0,0.15990159901599016,15.99
5813,812,87.0,0.10714285714285714,10.71
6456,808,54.0,0.06683168316831684,6.68
2561,807,67.0,0.08302354399008674,8.3
5848,806,51.0,0.06327543424317618,6.33
5508,805,76.0,0.09440993788819876,9.44
1121,804,74.0,0.09203980099502487,9.2
3397,802,59.0,0.07356608478802992,7.36
4152,801,123.0,0.15355805243445692,15.36
406,799,74.0,0.09261576971214018,9.26
3051,798,81.0,0.10150375939849623,10.15
5858,796,73.0,0.09170854271356783,9.17
2813,795,52.0,0.06540880503144654,6.54
45,795,43.0,0.05408805031446541,5.41
4372,794,72.0,0.0906801007556675,9.07
5738,793,49.0,0.0617906683480454,6.18
450,793,50.0,0.06305170239596469,6.31
6569,792,40.0,0.050505050505050504,5.05
4726,789,60.0,0.07604562737642585,7.6
1989,787,64.0,0.08132147395171538,8.13
6120,784,85.0,0.10841836734693877,10.84
1719,781,62.0,0.0793854033290653,7.94
6404,780,58.0,0.07435897435897436,7.44
6689,780,45.0,0.057692307692307696,5.77
568,777,66.0,0.08494208494208494,8.49
2490,776,98.0,0.12628865979381443,12.63
3633,776,92.0,0.11855670103092783,11.86
3603,776,95.0,0.12242268041237113,12.24
5589,776,61.0,0.07860824742268041,7.86
5800,775,68.0,0.08774193548387096,8.77
1516,775,27.0,0.03483870967741935,3.48
4740,773,60.0,0.07761966364812418,7.76
1681,771,81.0,0.10505836575875487,10.51
2638,769,57.0,0.0741222366710013,7.41
5087,767,51.0,0.06649282920469361,6.65
6284,767,80.0,0.10430247718383312,10.43
6351,765,96.0,0.12549019607843137,12.55
194,765,115.0,0.1503267973856209,15.03
3321,764,62.0,0.08115183246073299,8.12
1686,764,74.0,0.0968586387434555,9.69
1048,762,60.0,0.07874015748031496,7.87
5756,760,56.0,0.07368421052631578,7.37
5573,756,56.0,0.07407407407407407,7.41
446,755,70.0,0.09271523178807947,9.27
4336,751,78.0,0.10386151797603196,10.39
5804,750,56.0,0.07466666666666667,7.47
6708,750,47.0,0.06266666666666666,6.27
4810,747,68.0,0.09103078982597054,9.1
2051,747,42.0,0.05622489959839357,5.62
5043,745,52.0,0.0697986577181208,6.98
366,743,87.0,0.11709286675639301,11.71
2909,742,46.0,0.06199460916442048,6.2
795,741,37.0,0.04993252361673414,4.99
5667,741,59.0,0.0796221322537112,7.96
1467,739,37.0,0.05006765899864682,5.01
5112,738,71.0,0.09620596205962059,9.62
2613,735,55.0,0.07482993197278912,7.48
2841,735,68.0,0.09251700680272108,9.25
3297,730,69.0,0.09452054794520548,9.45
4513,727,48.0,0.06602475928473177,6.6
5424,726,25.0,0.03443526170798898,3.44
1819,726,45.0,0.06198347107438017,6.2
3199,720,56.0,0.07777777777777778,7.78
946,720,45.0,0.0625,6.25
6962,716,53.0,0.07402234636871509,7.4
3362,715,57.0,0.07972027972027972,7.97
4899,714,61.0,0.08543417366946779,8.54
4452,712,35.0,0.04915730337078652,4.92
4787,712,37.0,0.05196629213483146,5.2
5702,709,72.0,0.10155148095909731,10.16
6651,709,58.0,0.08180535966149506,8.18
5315,705,58.0,0.08226950354609928,8.23
4498,702,39.0,0.05555555555555555,5.56
3666,702,53.0,0.0754985754985755,7.55
2511,701,27.0,0.03851640513552068,3.85
6498,700,36.0,0.05142857142857143,5.14
156,699,40.0,0.05722460658082976,5.72
1894,698,70.0,0.10028653295128939,10.03
3314,698,52.0,0.07449856733524356,7.45
6698,698,47.0,0.0673352435530086,6.73
3177,697,33.0,0.047345767575322814,4.73
1897,696,34.0,0.04885057471264368,4.89
4064,692,25.0,0.036127167630057806,3.61
5834,692,39.0,0.05635838150289017,5.64
5544,692,42.0,0.06069364161849711,6.07
2362,690,48.0,0.06956521739130435,6.96
6039,688,42.0,0.061046511627906974,6.1
3238,688,64.0,0.09302325581395349,9.3
2644,688,36.0,0.05232558139534884,5.23
2048,687,45.0,0.06550218340611354,6.55
5564,686,42.0,0.061224489795918366,6.12
5294,683,39.0,0.05710102489019034,5.71
3739,683,41.0,0.060029282576866766,6.0
622,681,41.0,0.06020558002936858,6.02
4570,679,24.0,0.035346097201767304,3.53
6490,679,32.0,0.047128129602356406,4.71
5522,678,40.0,0.058997050147492625,5.9
613,677,42.0,0.0620384047267356,6.2
1200,675,63.0,0.09333333333333334,9.33
5645,674,57.0,0.08456973293768547,8.46
3807,672,46.0,0.06845238095238096,6.85
3025,672,53.0,0.07886904761904762,7.89
6959,670,47.0,0.07014925373134329,7.01
4310,669,52.0,0.07772795216741404,7.77
2170,669,56.0,0.08370702541106129,8.37
175,668,49.0,0.07335329341317365,7.34
1546,667,45.0,0.06746626686656672,6.75
3323,666,30.0,0.04504504504504504,4.5
2646,666,48.0,0.07207207207207207,7.21
5083,665,41.0,0.061654135338345864,6.17
6834,662,49.0,0.07401812688821752,7.4
533,662,52.0,0.07854984894259819,7.85
1697,660,39.0,0.05909090909090909,5.91
2604,659,26.0,0.03945371775417299,3.95
1154,659,44.0,0.06676783004552352,6.68
2667,658,37.0,0.05623100303951368,5.62
4888,658,55.0,0.08358662613981763,8.36
5068,657,47.0,0.0715372907153729,7.15
3460,655,90.0,0.13740458015267176,13.74
4833,650,34.0,0.052307692307692305,5.23
3099,648,38.0,0.05864197530864197,5.86
31,646,38.0,0.058823529411764705,5.88
6710,642,62.0,0.09657320872274143,9.66
2181,641,75.0,0.11700468018720749,11.7
4795,641,38.0,0.059282371294851796,5.93
10,637,34.0,0.05337519623233909,5.34
5763,637,56.0,0.08791208791208792,8.79
1848,637,48.0,0.07535321821036106,7.54
4852,637,53.0,0.08320251177394035,8.32
3665,636,48.0,0.07547169811320754,7.55
582,636,25.0,0.03930817610062893,3.93
2675,636,61.0,0.0959119496855346,9.59
6168,634,75.0,0.11829652996845426,11.83
3019,633,39.0,0.061611374407582936,6.16
6028,632,55.0,0.08702531645569621,8.7
2087,631,51.0,0.08082408874801902,8.08
4042,628,77.0,0.12261146496815287,12.26
5689,626,81.0,0.12939297124600638,12.94
5792,626,46.0,0.07348242811501597,7.35
4798,626,60.0,0.09584664536741214,9.58
4006,625,55.0,0.088,8.8
4617,623,79.0,0.12680577849117175,12.68
1417,622,47.0,0.07556270096463022,7.56
1440,622,42.0,0.06752411575562701,6.75
1583,622,39.0,0.06270096463022508,6.27
3468,618,34.0,0.05501618122977346,5.5
2012,618,26.0,0.042071197411003236,4.21
110,617,28.0,0.04538087520259319,4.54
4657,616,49.0,0.07954545454545454,7.95
2651,616,34.0,0.05519480519480519,5.52
681,614,30.0,0.048859934853420196,4.89
4114,614,45.0,0.0732899022801303,7.33
4410,614,34.0,0.05537459283387622,5.54
2306,613,55.0,0.08972267536704731,8.97
5224,609,27.0,0.04433497536945813,4.43
1229,609,27.0,0.04433497536945813,4.43
3332,609,38.0,0.06239737274220033,6.24
288,606,30.0,0.04950495049504951,4.95
3411,605,34.0,0.05619834710743802,5.62
4279,605,23.0,0.03801652892561983,3.8
499,603,37.0,0.06135986733001658,6.14
4865,602,47.0,0.07807308970099668,7.81
4394,601,57.0,0.09484193011647254,9.48
6343,601,41.0,0.06821963394342762,6.82
5953,600,41.0,0.06833333333333333,6.83
2086,599,46.0,0.07679465776293823,7.68
127,597,50.0,0.08375209380234507,8.38
1771,597,34.0,0.05695142378559464,5.7
1724,595,23.0,0.03865546218487395,3.87
2346,595,49.0,0.08235294117647059,8.24
225,594,39.0,0.06565656565656566,6.57
2763,594,52.0,0.08754208754208755,8.75
4265,590,70.0,0.11864406779661017,11.86
5784,587,24.0,0.04088586030664395,4.09
3677,586,32.0,0.05460750853242321,5.46
117,585,30.0,0.05128205128205128,5.13
253,583,36.0,0.06174957118353345,6.17
1780,582,68.0,0.11683848797250859,11.68
3762,582,42.0,0.07216494845360824,7.22
5086,582,37.0,0.06357388316151202,6.36
4878,581,21.0,0.03614457831325301,3.61
6772,581,78.0,0.1342512908777969,13.43
5089,580,35.0,0.0603448275862069,6.03
1795,580,42.0,0.07241379310344828,7.24
3913,578,31.0,0.05363321799307959,5.36
5740,578,38.0,0.0657439446366782,6.57
5940,577,20.0,0.03466204506065858,3.47
6526,577,40.0,0.06932409012131716,6.93
672,575,45.0,0.0782608695652174,7.83
770,572,35.0,0.06118881118881119,6.12
6247,571,53.0,0.09281961471103327,9.28
5173,570,58.0,0.10175438596491228,10.18
1401,569,38.0,0.06678383128295255,6.68
1722,568,37.0,0.06514084507042253,6.51
4105,568,33.0,0.058098591549295774,5.81
5627,565,24.0,0.04247787610619469,4.25
1512,565,32.0,0.05663716814159292,5.66
4258,564,35.0,0.06205673758865248,6.21
519,564,34.0,0.06028368794326241,6.03
1536,563,36.0,0.06394316163410302,6.39
3938,563,41.0,0.07282415630550622,7.28
6124,562,42.0,0.07473309608540925,7.47
6297,562,29.0,0.051601423487544484,5.16
